date,month,temperature_C,humidity_pct,rainfall_mm
2023-04-15,April,23.9,57.7,0.0
2024-06-01,June,29.0,54.0,0.0
2023-03-25,March,19.8,67.9,0.0
2024-10-24,October,12.6,77.6,19.6
2024-03-08,March,19.5,64.6,0.0
2023-01-18,January,10.4,80.9,0.0
2023-05-20,May,26.1,60.9,0.0
2023-10-31,october,14.0,70.3,6.3
2023-10-10,October,10.4,77.1,0.0
2023-12-31,December,8.3,71.9,18.6
2023-03-05,March,12.4,72.5,26.3
2023-02-17,February,8.8,83.3,8.3
2023-09-09,September,19.4,72.0,0.3
2023-02-12,February,14.0,83.0,10.0
2024-08-05,August,27.6,64.4,0.0
2024-11-08,November,8.7,69.5,0.0
2024-02-13,February,12.6,69.0,0.0
2023-05-14,May,26.3,77.7,2.7
2023-05-28,May,29.6,63.8,0.6
2023-12-12,December,5.6,71.4,9.5
2023-10-16,October,13.8,82.9,0.0
2023-11-03,November,10.2,69.1,0.0
2023-02-03,February,8.0,83.4,0.3
2024-12-15,December,3.6,90.9,7.3
2024-02-02,February,15.5,81.2,0.0
2024-12-26,December,0.9,89.2,0.3
2023-10-28,October,13.6,70.6,0.0
2023-03-14,March,17.2,65.7,7.1
2023-06-30,June,,,0.0
2024-07-22,July,23.3,60.2,2.1
2023-04-24,april,29.1,70.4,1.2
2023-06-29,June,28.8,60.5,0.0
2023-09-25,September,17.0,65.4,0.0
2023-03-08,March,21.7,76.0,0.0
2024-09-23,September,17.2,64.4,28.2
2023-03-09,march,19.3,63.5,1.0
2024-06-02,June,30.2,71.0,0.0
2023-08-25,August,21.2,72.0,0.0
2024-07-14,July,21.2,66.5,0.0
2024-03-09,March,,76.3,0.0
2023-04-17,April,23.1,66.5,0.0
2023-07-09,July,24.1,62.0,0.0
2024-08-18,August,21.5,57.3,0.0
2024-11-27,November,4.6,72.6,0.0
2023-12-20,December,4.3,74.9,2.9
2024-04-28,April,28.2,59.5,0.0
2023-06-13,june,30.4,83.7,0.0
2024-06-05,June,33.2,58.2,0.0
2023-08-02,August,28.1,48.5,0.0
2024-10-29,October,7.3,80.7,0.0
2023-03-18,March,15.6,78.2,9.5
2024-08-27,August,19.3,60.6,0.0
2023-05-17,May,26.8,61.4,0.0
2023-09-05,September,16.6,53.2,12.7
2024-02-18,February,9.4,67.8,0.0
2023-06-07,june,26.4,58.4,0.0
2024-12-03,December,8.6,81.7,0.7
2024-11-26,November,12.3,71.7,1.8
2024-12-08,December,4.8,83.1,0.0
2023-08-05,August,30.1,57.3,0.0
2024-01-10,January,8.2,93.2,27.7
2024-09-04,September,22.8,65.7,0.0
2023-07-14,July,27.6,68.5,1.2
2023-07-04,July,28.6,72.9,0.0
2023-03-16,March,19.0,70.0,0.0
2024-08-30,August,20.6,59.4,0.0
2023-11-13,November,13.9,74.3,6.7
2023-09-06,September,,,
2023-02-23,February,16.1,79.6,0.0
2024-07-29,July,24.0,65.1,0.0
2023-09-29,September,13.0,68.8,0.0
2024-07-11,July,26.5,70.0,0.0
2023-04-18,April,28.1,66.4,0.0
2024-08-13,August,19.5,77.2,0.0
2023-10-18,October,14.5,71.4,0.0
2024-04-24,April,22.1,69.7,0.0
2023-09-19,September,18.0,65.4,2.2
2024-04-08,April,25.0,58.9,18.7
2024-09-29,September,19.4,77.3,0.0
2023-11-30,November,8.8,91.1,0.0
2024-02-25,February,11.9,69.3,15.2
2023-03-31,March,21.7,74.7,0.7
2024-03-22,March,20.1,62.1,0.0
2024-07-08,July,28.3,80.7,0.0
2024-09-12,September,20.8,68.7,5.6
2023-12-07,December,3.1,71.8,0.0
2023-09-12,September,20.9,73.1,0.0
2024-05-04,May,29.3,65.5,0.0
2024-10-19,October,,,
2023-05-05,May,28.9,58.5,0.0
2024-09-08,September,23.3,74.3,0.0
2024-07-04,July,26.4,73.4,12.2
2024-09-27,September,14.1,73.8,24.2
2024-12-28,December,2.8,84.1,0.0
2023-08-03,August,29.4,65.4,0.0
2023-07-23,July,34.1,60.0,0.0
2023-12-29,December,2.0,66.7,0.0
2023-12-17,December,,61.3,0.0
2024-06-04,June,37.7,56.0,0.0
2024-05-12,May,30.6,71.5,0.0
2024-10-08,October,16.5,63.1,1.8
2023-10-23,October,13.1,65.6,0.0
2023-09-11,September,20.6,66.6,0.0
2023-09-07,September,22.5,66.5,-5.0
2024-11-03,November,15.1,74.8,0.0
2024-06-26,June,30.9,54.7,11.0
2024-04-06,april,22.6,82.0,2.2
2024-02-09,February,14.0,56.9,0.0
2023-05-27,May,26.8,84.2,0.0
2023-12-25,December,8.7,81.7,4.3
2023-08-13,August,23.3,62.6,1.7
